UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
jonas     1642  1351  1649  0    4 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
jonas     1642  1351  1654  0    4 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
jonas     1642  1351  2063  0    4 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
jonas     1653  1351  1653  0    3 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
jonas     1653  1351  1686  0    3 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
jonas     1653  1351  1711  0    3 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
jonas     1661  1351  1661  0    3 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
jonas     1661  1351  1662  0    3 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
jonas     1661  1351  1673  0    3 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
jonas     1701  1351  1701  0    2 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
jonas     1701  1351  1721  0    2 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
jonas     1705  1351  1705  1    3 15:40 ?        00:02:11 /usr/bin/pulseaudio --start --log-target=syslog
jonas     1705  1351  1922  3    3 15:40 ?        00:05:29 /usr/bin/pulseaudio --start --log-target=syslog
jonas     1705  1351  1931  0    3 15:40 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
rtkit     1709     1  1709  0    3 15:40 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit     1709     1  1728  0    3 15:40 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit     1709     1  1729  0    3 15:40 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
jonas     1723  1351  1723  0    4 15:40 ?        00:00:00 /usr/bin/gnome-screensaver --no-daemon
jonas     1723  1351  1789  0    4 15:40 ?        00:00:00 /usr/bin/gnome-screensaver --no-daemon
jonas     1723  1351  1797  0    4 15:40 ?        00:00:00 /usr/bin/gnome-screensaver --no-daemon
jonas     1723  1351  1918  0    4 15:40 ?        00:00:00 /usr/bin/gnome-screensaver --no-daemon
jonas     1762  1351  1762  0    3 15:40 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
jonas     1762  1351  1790  0    3 15:40 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
jonas     1762  1351  1932  0    3 15:40 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
jonas     1765  1459  1765  0    3 15:40 ?        00:00:01 /usr/lib/ibus/ibus-engine-simple
jonas     1765  1459  1768  0    3 15:40 ?        00:00:02 /usr/lib/ibus/ibus-engine-simple
jonas     1765  1459  1770  0    3 15:40 ?        00:00:00 /usr/lib/ibus/ibus-engine-simple
root      1805     1  1805  0    1 15:40 ?        00:00:00 /bin/sh -e /proc/self/fd/9
root      1812  1805  1812  0    1 15:40 ?        00:00:00 initctl emit plymouth-ready
jonas     1949  1351  1949  0    3 15:40 ?        00:00:02 /usr/lib/x86_64-linux-gnu/notify-osd
jonas     1949  1351  1983  0    3 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/notify-osd
jonas     1949  1351  1986  0    3 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/notify-osd
jonas     1969  1351  1969  0    5 15:40 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
jonas     1969  1351  2068  0    5 15:40 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
jonas     1969  1351  2117  0    5 15:40 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
jonas     1969  1351  2118  0    5 15:40 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
jonas     1969  1351  2124  0    5 15:40 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
jonas     1975  1495  1975  0    4 15:40 ?        00:00:50 compiz
jonas     1975  1495 11968  0    4 16:18 ?        00:00:00 compiz
jonas     1975  1495 11976  0    4 16:18 ?        00:00:00 compiz
jonas     1975  1495 11977  0    4 16:18 ?        00:00:00 compiz
jonas     1979  1351  1979  0    3 15:40 ?        00:00:00 /usr/lib/dconf/dconf-service
jonas     1979  1351  1988  0    3 15:40 ?        00:00:00 /usr/lib/dconf/dconf-service
jonas     1979  1351  1993  0    3 15:40 ?        00:00:00 /usr/lib/dconf/dconf-service
colord    2003     1  2003  0    3 15:40 ?        00:00:00 /usr/lib/colord/colord
colord    2003     1  2019  0    3 15:40 ?        00:00:00 /usr/lib/colord/colord
colord    2003     1  2025  0    3 15:40 ?        00:00:00 /usr/lib/colord/colord
jonas     2043  1495  2043  0    3 15:40 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
jonas     2043  1495  2069  0    3 15:40 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
jonas     2043  1495  2089  0    3 15:40 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
